saison,href,score_equipe_home,score_equipe_away,Possession_de_balle_home,Possession_de_balle_away,Tirs_au_but_home,Tirs_au_but_away,Tirs_cadrés_home,Tirs_cadrés_away,Tirs_non_cadrés_home,Tirs_non_cadrés_away,Tirs_bloqués_home,Tirs_bloqués_away,Corners_home,Corners_away,Sauvetages_du_gardien_home,Sauvetages_du_gardien_away,Coup_francs_home,Coup_francs_away,Hors-jeu_home,Hors-jeu_away,Fautes_home,Fautes_away,Cartons_Jaunes_home,Cartons_Jaunes_away,Passes_home,Passes_away,Cartons_Rouges_home,Cartons_Rouges_away,score_mi_temps_home,score_mi_temps_away,resultat
2024-2025,https://www.flashscore.fr/match/SMfm4Zck/#/resume-du-match,1,3,0.45,0.55,10.0,3.0,4.0,1.0,5.0,2.0,1.0,0.0,4.0,0.0,1.0,4.0,4.0,5.0,2.0,1.0,5.0,4.0,1.0,1.0,0.79,0.83,0.0,0.0,0,0,1
2024-2025,https://www.flashscore.fr/match/GryrQGK8/#/resume-du-match,1,0,0.32,0.68,5.0,4.0,2.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,5.0,7.0,0.0,0.0,7.0,5.0,0.0,3.0,0.84,0.89,0.0,0.0,0,0,-1
2024-2025,https://www.flashscore.fr/match/0UVRP7QP/#/resume-du-match,1,1,0.4,0.6,5.0,8.0,2.0,5.0,3.0,2.0,0.0,1.0,3.0,1.0,4.0,2.0,6.0,5.0,2.0,1.0,5.0,6.0,0.0,0.0,0.81,0.9,0.0,0.0,0,1,0
2024-2025,https://www.flashscore.fr/match/AqgG784s/#/resume-du-match,1,0,0.63,0.37,4.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,8.0,6.0,1.0,0.0,6.0,8.0,1.0,1.0,0.89,0.8,0.0,0.0,1,0,-1
2024-2025,https://www.flashscore.fr/match/GtdO5nZg/#/resume-du-match,0,2,0.71,0.29,5.0,4.0,1.0,3.0,3.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,8.0,7.0,0.0,0.0,7.0,8.0,0.0,0.0,0.88,0.73,0.0,0.0,0,1,1
2024-2025,https://www.flashscore.fr/match/pMmu24YI/#/resume-du-match,1,0,0.5,0.5,3.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,0.0,5.0,3.0,1.0,1.0,0.88,0.85,0.0,0.0,0,0,-1
2024-2025,https://www.flashscore.fr/match/Olld2DS1/#/resume-du-match,2,1,0.61,0.39,11.0,1.0,1.0,1.0,6.0,0.0,4.0,0.0,3.0,3.0,0.0,1.0,4.0,7.0,0.0,0.0,7.0,4.0,1.0,0.0,0.86,0.79,0.0,0.0,0,1,-1
2024-2025,https://www.flashscore.fr/match/d0HcKolm/#/resume-du-match,0,2,0.49,0.51,8.0,6.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,5.0,7.0,0.0,0.0,7.0,5.0,1.0,1.0,0.83,0.85,0.0,0.0,0,1,1
2024-2025,https://www.flashscore.fr/match/2DnbIPIa/#/resume-du-match,5,0,0.73,0.27,8.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,2.0,8.0,10.0,1.0,1.0,10.0,8.0,0.0,0.0,0.92,0.77,0.0,1.0,2,0,-1
2024-2025,https://www.flashscore.fr/match/MHJOYp3t/#/resume-du-match,3,1,0.36,0.64,8.0,4.0,6.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,4.0,3.0,7.0,0.0,0.0,7.0,3.0,3.0,1.0,0.86,0.89,0.0,0.0,2,0,-1
